"species","species_short","longitude","latitude","date_obs","source","tmax_mean_c","prec_mean_annual","tas_current_july_c","tas_future_july_2050_c","delta_tas_july_c","elevation","eco_values","Temperature","Moisture","Landcover","Landforms","Climate_Re","W_Ecosystm","NDVI"
"Capra ibex","Ibex",7.499774,46.342413,"2025-01-04","GBIF",3.08076923076925,139.307692307692,9.85000000000004,9.55000000000001,-0.30000000000003,2176,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.5831
"Capra ibex","Ibex",7.47106,46.25393,"2025-01-29","GBIF",14.6576923076923,60.7692307692308,10.2166666666667,21.45,11.2333333333333,550,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.645022222222222
"Capra ibex","Ibex",7.47106,46.25393,"2025-01-08","GBIF",14.6576923076923,60.7692307692308,10.2166666666667,21.45,11.2333333333333,550,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.645022222222222
"Capra ibex","Ibex",7.47106,46.25393,"2025-01-29","GBIF",14.6576923076923,60.7692307692308,10.2166666666667,21.45,11.2333333333333,550,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.645022222222222
"Capra ibex","Ibex",7.47106,46.25393,"2025-01-08","GBIF",14.6576923076923,60.7692307692308,10.2166666666667,21.45,11.2333333333333,550,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.645022222222222
"Capra ibex","Ibex",7.47106,46.25393,"2025-01-08","GBIF",14.6576923076923,60.7692307692308,10.2166666666667,21.45,11.2333333333333,550,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.645022222222222
"Capra ibex","Ibex",7.47106,46.25393,"2025-01-08","GBIF",14.6576923076923,60.7692307692308,10.2166666666667,21.45,11.2333333333333,550,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.645022222222222
"Capra ibex","Ibex",7.47106,46.25393,"2025-01-08","GBIF",14.6576923076923,60.7692307692308,10.2166666666667,21.45,11.2333333333333,550,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.645022222222222
"Capra ibex","Ibex",7.779822,46.411949,"2025-02-07","GBIF",5.47307692307692,143.153846153846,12.4833333333333,12.55,0.0666666666666629,1905,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.654377777777778
"Capra ibex","Ibex",7.47106,46.25393,"2025-02-07","GBIF",14.6576923076923,60.7692307692308,10.2166666666667,21.45,11.2333333333333,550,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.645022222222222
"Capra ibex","Ibex",7.47106,46.25393,"2025-02-07","GBIF",14.6576923076923,60.7692307692308,10.2166666666667,21.45,11.2333333333333,550,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.645022222222222
"Capra ibex","Ibex",7.66502,46.11877,"2025-02-11","GBIF",0.634615384615415,107,16.45,8.55000000000001,-7.90000000000001,2637,18,"Polar","Moist","Grassland","Mountains","Polar Moist","Polar Moist Grassland on Mountains",0.358566666666667
"Capra ibex","Ibex",7.47106,46.25393,"2025-02-07","GBIF",14.6576923076923,60.7692307692308,10.2166666666667,21.45,11.2333333333333,550,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.645022222222222
"Capra ibex","Ibex",7.66502,46.11877,"2025-02-11","GBIF",0.634615384615415,107,16.45,8.55000000000001,-7.90000000000001,2637,18,"Polar","Moist","Grassland","Mountains","Polar Moist","Polar Moist Grassland on Mountains",0.358566666666667
"Capra ibex","Ibex",7.47106,46.25393,"2025-02-07","GBIF",14.6576923076923,60.7692307692308,10.2166666666667,21.45,11.2333333333333,550,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.645022222222222
"Capra ibex","Ibex",7.47106,46.25393,"2025-02-07","GBIF",14.6576923076923,60.7692307692308,10.2166666666667,21.45,11.2333333333333,550,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.645022222222222
"Capra ibex","Ibex",7.783053,45.98328,"2025-03-06","GBIF",-1.40384615384613,157.307692307692,16.3833333333334,7.15000000000003,-9.23333333333333,3020,5,"Polar","Moist","Sparsely or Non vegetated","Mountains","Polar Moist","Polar Moist Sparsely or Non vegetated on Mountains",0.165711111111111
"Capra ibex","Ibex",7.01789,46.16319,"2025-03-26","GBIF",13.7269230769231,93.5384615384615,14.5166666666667,20.2500000000001,5.73333333333335,833,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.864622222222222
"Capra ibex","Ibex",7.40625,46.20895,"2025-03-21","GBIF",12.7192307692308,64.6153846153846,11.55,19.55,7.99999999999998,829,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.775055555555556
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-23","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95357,46.11795,"2025-03-24","GBIF",2.74230769230775,183.923076923077,7.55000000000003,9.45000000000005,1.90000000000002,2224,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.635988888888889
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-22","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95357,46.11795,"2025-03-24","GBIF",2.74230769230775,183.923076923077,7.55000000000003,9.45000000000005,1.90000000000002,2224,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.635988888888889
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-09","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-22","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-09","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-22","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",7.01789,46.16319,"2025-03-26","GBIF",13.7269230769231,93.5384615384615,14.5166666666667,20.2500000000001,5.73333333333335,833,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.864622222222222
"Capra ibex","Ibex",6.95357,46.11795,"2025-03-24","GBIF",2.74230769230775,183.923076923077,7.55000000000003,9.45000000000005,1.90000000000002,2224,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.635988888888889
"Capra ibex","Ibex",6.95357,46.11795,"2025-03-24","GBIF",2.74230769230775,183.923076923077,7.55000000000003,9.45000000000005,1.90000000000002,2224,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.635988888888889
"Capra ibex","Ibex",6.95357,46.11795,"2025-03-24","GBIF",2.74230769230775,183.923076923077,7.55000000000003,9.45000000000005,1.90000000000002,2224,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.635988888888889
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-22","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-22","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-09","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-22","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-09","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-22","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-23","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",7.01789,46.16319,"2025-03-04","GBIF",13.7269230769231,93.5384615384615,14.5166666666667,20.2500000000001,5.73333333333335,833,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.864622222222222
"Capra ibex","Ibex",7.01789,46.16319,"2025-03-27","GBIF",13.7269230769231,93.5384615384615,14.5166666666667,20.2500000000001,5.73333333333335,833,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.864622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-23","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-17","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",7.40625,46.20895,"2025-03-28","GBIF",12.7192307692308,64.6153846153846,11.55,19.55,7.99999999999998,829,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.775055555555556
"Capra ibex","Ibex",7.40625,46.20895,"2025-03-28","GBIF",12.7192307692308,64.6153846153846,11.55,19.55,7.99999999999998,829,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.775055555555556
"Capra ibex","Ibex",7.01789,46.16319,"2025-03-20","GBIF",13.7269230769231,93.5384615384615,14.5166666666667,20.2500000000001,5.73333333333335,833,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.864622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-23","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-17","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95357,46.11795,"2025-03-24","GBIF",2.74230769230775,183.923076923077,7.55000000000003,9.45000000000005,1.90000000000002,2224,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.635988888888889
"Capra ibex","Ibex",6.95357,46.11795,"2025-03-24","GBIF",2.74230769230775,183.923076923077,7.55000000000003,9.45000000000005,1.90000000000002,2224,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.635988888888889
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-19","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-23","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",7.01789,46.16319,"2025-03-25","GBIF",13.7269230769231,93.5384615384615,14.5166666666667,20.2500000000001,5.73333333333335,833,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.864622222222222
"Capra ibex","Ibex",7.01789,46.16319,"2025-03-27","GBIF",13.7269230769231,93.5384615384615,14.5166666666667,20.2500000000001,5.73333333333335,833,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.864622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-23","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-17","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-18","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-18","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-19","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-17","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-18","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-19","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-19","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-18","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-19","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",6.95397,46.07297,"2025-03-19","GBIF",7.93461538461543,164.461538461538,11.25,14.85,3.59999999999998,1664,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.699622222222222
"Capra ibex","Ibex",7.758088,46.363247,"2025-04-03","GBIF",9.23461538461538,115.230769230769,6.18333333333338,16.35,10.1666666666666,1299,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.7353
"Capra ibex","Ibex",7.93,46.13,"2025-04-07","GBIF",6.25769230769237,123.846153846154,6.85000000000004,14.15,7.29999999999999,1701,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.729577777777778
"Capra ibex","Ibex",7.940647,46.127339,"2025-04-08","GBIF",7.36538461538464,113.153846153846,9.95000000000005,15.2500000000001,5.30000000000001,1619,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.602922222222222
"Capra ibex","Ibex",7.169451,46.172024,"2025-04-12","GBIF",14.0423076923077,93.2307692307692,9.45000000000005,20.7500000000001,11.3,814,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.681677777777778
"Capra ibex","Ibex",6.82167,46.3422,"2025-04-28","GBIF",7.49615384615385,165.307692307692,9.88333333333336,13.35,3.46666666666666,1859,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.806622222222222
"Capra ibex","Ibex",6.82167,46.3422,"2025-04-28","GBIF",7.49615384615385,165.307692307692,9.88333333333336,13.35,3.46666666666666,1859,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.806622222222222
"Capra ibex","Ibex",7.01789,46.16319,"2025-04-02","GBIF",13.7269230769231,93.5384615384615,14.5166666666667,20.2500000000001,5.73333333333335,833,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.864622222222222
